"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"ATP13A3"	0.00773660358299237	8.34771966405935e-05	0.555445028596589	3.93419153845049	2.18522713157909	16782.4777595145
"OAS3"	0.00773660358299237	8.32399935595539e-05	0.469358701177136	3.93487503974462	1.84686783794886	2152.83933947983
"HPDL"	0.00776505492135632	8.43596331863702e-05	0.996566322419112	-3.9316648087986	-3.91816473948906	28.3916417899525
"MMP14"	0.00776505492135632	8.45746006295934e-05	0.360934004085701	3.93105306474442	1.41885072293157	29218.0573279183
"RALGPS1"	0.00778992096886721	8.52419079960531e-05	0.418560273836575	-3.9291633899577	-1.64459170444934	257.906046318029
"SSPOP"	0.00787900337227697	8.66177080828494e-05	0.609052297967244	-3.92531113432564	-2.39071976659744	51.9822984444672
"HCG4"	0.00804598242997019	8.91457989962682e-05	1.2569523245574	3.91838078924894	4.9252178415475	121.55289755347
"CLXN"	0.00804598242997019	8.92724027755243e-05	0.694031858025287	-3.91803862803038	-2.71924362882677	27.6567078400327
"AGAP12P"	0.00807684772158118	9.01929772683539e-05	0.354783171082731	-3.91556436634018	-1.38917634246871	55.474044402848
"HSD17B14"	0.00807684772158118	9.04370164264994e-05	0.52001235916333	3.9149124537946	2.03580286101563	513.935889033309
"CRISPLD1"	0.0084284899964963	9.52323279327249e-05	0.782816603148264	-3.90242861749269	-3.05488591437421	87.8447153650951
"PRCP"	0.00866175466888075	9.83087994279523e-05	0.397317380092155	3.89472845358004	1.54744330534679	4022.50843799003
"FAM171B"	0.00912767407270793	0.000104608251743877	0.640569106578175	-3.87964680205843	-2.48518188583344	609.212800470072
"SNAI2"	0.00912767407270793	0.000104990550714169	0.293172425642567	-3.87875935681166	-1.13714528912028	609.362087300493
"ANK3"	0.00912767407270793	0.000104761684729633	0.817039696098129	-3.87929026508472	-3.16953413926125	901.211500999147
"GLUL"	0.00915630647712114	0.0001063995672739	0.623176624370374	3.87551467392442	2.41513015219407	39628.1591956872
"LOC101928274"	0.00915630647712114	0.000107183962222	0.402168761266502	-3.87372589583291	-1.55789154501309	31.2555833360416
"CHODL"	0.00915630647712114	0.000106950613855365	0.765509029516422	-3.87425674225312	-2.96577851885964	143.27779544891
"FTCD"	0.00915630647712114	0.000107069093239572	0.938063814127806	-3.87398707594818	-3.63404709234577	24.6549410327886
"PEA15"	0.00992257749743745	0.00011688958584879	0.359746301039607	3.8525594476693	1.38594401083422	6155.6329503702
"CCDC171"	0.00992257749743745	0.000117163985108178	0.318272691150687	-3.85198545214744	-1.22598177612826	90.7308945338235
"RPIA"	0.0102081601496488	0.000121055645097118	0.327068384204192	-3.84397844124303	-1.25724381769311	458.843198171881
"FGFR4"	0.0102090544675446	0.000121585848198567	0.999535857300743	-3.84290639939656	-3.84112274244736	30.3261763681731
"LOC105371688"	0.0105259048787661	0.000125895136731984	0.637133218670507	-3.83435319173806	-2.44299379057161	49.8858703099934
